strength                              attacked_error_rate
1.5                                         0.455124
1.6                                         0.484517
1.7                                         0.506475
1.8                                         0.429688
1.9                                         0.423841
2.0                                         0.511549
2.1                                         0.424851
2.2                                         0.434871
2.3                                         0.494712
2.4                                         0.414596
2.5                                         0.424592
                  
