strength                      error
0.1                            0.494141
0.15                          0.498047
0.2                            0.453012
0.3                            0.410156
0.4                            0.286133
0.5                            0.179688
0.6                            0.129883
0.7                            0.0820312
0.8                            0.0683594
0.9                            0.0429688
1.0                            0.0410156
1.1                            0.0332031
1.2                            0.0292969
1.3                            0.0253906
1.4                            0.0214844
1.5                            0.0253906
1.6                            0.015625
1.7                            0.0146484
1.8                            0.0117188
1.9                            0.00878906
2.0                            0.00488281
3.0                            0
4.0                            0
5.0                            0
6.0                            0
